TeamId,TeamName,SubmissionDate,Score
6763060,[Rist]Takoi,"2021-06-24 02:36:20",0.451
6734669,yao,"2021-06-24 12:04:35",0.452
6736641,"yabea & Y.Nakama & copasta","2021-06-24 08:31:12",0.452
6741571,"Tim Yee","2021-06-23 18:34:03",0.453
6736643,Ravox,"2021-06-24 03:36:22",0.454
6896908,"read fun","2021-06-24 11:07:27",0.454
6811051,Grossmend,"2021-06-08 07:20:27",0.455
6989698,Nanashi,"2021-06-23 07:42:56",0.456
6773167,"Romain Hardy","2021-06-22 16:36:54",0.456
6762121,Wrong,"2021-06-24 06:13:56",0.456
6802834,steubk,"2021-06-24 10:44:09",0.456
6781300,kambehmw,"2021-06-23 15:25:46",0.457
6803131,ABCbum,"2021-06-24 04:11:33",0.458
6823320,datasaurus,"2021-06-23 08:59:26",0.459
6797876,fantastic_hirarin,"2021-06-24 11:33:37",0.459
6874543,PIkachu,"2021-06-23 09:58:38",0.459
6737472,T0m,"2021-06-23 13:53:01",0.460
6834239,pancakies,"2021-06-24 11:43:53",0.460
6734037,"Trang Dieu","2021-06-24 00:09:17",0.460
6735625,kurupical,"2021-06-24 09:07:46",0.460
6738612,ykskks,"2021-06-24 11:32:18",0.460
6736131,hiromu,"2021-06-23 13:52:04",0.461
6807512,Sandiago,"2021-06-24 06:54:48",0.461
6734703,"Joshua Lancaster","2021-06-10 02:37:22",0.461
6738689,esprit,"2021-06-05 05:14:45",0.461
6737175,HDKIM,"2021-06-24 12:32:01",0.461
6848727,Pugs,"2021-06-24 04:20:02",0.461
6750882,"ankit maurya","2021-06-22 18:07:31",0.461
6859687,kaerururu,"2021-06-24 10:04:28",0.461
6746433,"Cat Language Processing","2021-06-22 04:41:47",0.461
6854684,dev1ceqqq,"2021-06-23 01:52:43",0.461
6781642,ofnt,"2021-06-24 05:22:56",0.461
6842042,BabaSinger,"2021-06-19 21:44:46",0.461
6769727,"Adam Montgomerie","2021-06-24 09:39:05",0.462
6737799,Titans,"2021-06-16 02:22:26",0.462
6809274,"Randomness to the top 🙂","2021-06-23 22:14:01",0.462
6747094,Wilcamsdington,"2021-06-16 02:49:08",0.462
6743802,all_random,"2021-06-24 10:30:20",0.462
6733928,WHKRT,"2021-06-19 06:51:02",0.463
6738702,KhanhVD,"2021-06-23 06:49:07",0.463
6734358,"Isamu, Matt, Nischay, OneSigmaTooMany & PS","2021-06-24 11:40:01",0.463
6736067,hirayuki,"2021-06-24 00:03:14",0.463
6831592,"Egor Trushin","2021-06-24 02:42:38",0.463
6742039,ln,"2021-06-22 19:39:04",0.463
6781449,"Neo Zhao","2021-06-24 08:43:47",0.463
6742797,ilovepotatoes,"2021-06-18 18:25:14",0.463
6752360,"SS squad","2021-06-22 21:25:53",0.463
6734544,BoBERTa,"2021-06-23 15:33:56",0.463
6931506,"Kaoru Sasakawa","2021-06-24 07:13:26",0.463
6883591,pppass,"2021-06-09 05:53:58",0.463
6737266,"Khoi Nguyen","2021-05-28 02:54:37",0.463
6825064,pbcquoc,"2021-06-01 08:21:05",0.463
6806072,"Shiny Go","2021-06-24 11:29:15",0.463
6808168,"Harijs Ceriņš","2021-06-24 11:42:48",0.463
6759196,lhagiimn,"2021-06-23 05:29:45",0.463
6955415,xuxu_sky,"2021-06-22 13:59:49",0.463
6914214,J.A.R.V.I.S.,"2021-06-16 01:04:04",0.463
6745968,"I don't know anything about DNN","2021-06-23 06:22:01",0.463
6767384,LimeRobot+YoonSoo,"2021-06-23 13:20:05",0.463
6977371,Hanson0910,"2021-06-24 11:16:24",0.463
6785805,"अनंत ∞","2021-06-23 18:07:13",0.464
6989894,Acchin,"2021-06-24 07:36:20",0.464
6883628,"Data gods","2021-06-22 07:05:57",0.464
6763578,"Wilmer Henao","2021-06-24 02:11:25",0.464
6736363,"Junichiro Morita","2021-06-22 03:22:51",0.464
6770555,MartinBarus,"2021-06-24 11:33:16",0.464
6744903,"Entropy Capstone","2021-06-22 08:03:27",0.464
6947080,"Alexei Romanovich Krot","2021-06-22 14:17:48",0.464
6929556," Alex McQueen123","2021-06-22 15:38:48",0.464
6735407,"Ayush Anand","2021-06-23 11:07:03",0.464
6741093,"Saiyan Warrior","2021-06-23 06:47:44",0.464
6743821,"Rishi Patel","2021-06-23 12:25:10",0.464
6736923,"I read Gold!","2021-06-24 05:05:07",0.464
7002081,shangyimeng,"2021-06-24 09:32:31",0.464
6987995,yukiya,"2021-06-21 15:23:06",0.464
6782440,"Andrew Tratz","2021-06-21 15:36:01",0.464
6737333,"Ravi Shah","2021-06-21 15:40:28",0.464
6734694,benedikt.d,"2021-06-21 16:13:30",0.464
6972524,B0721138,"2021-06-22 09:01:53",0.464
6743922,"Mehdi Pedram","2021-06-21 20:22:46",0.464
6735529,"Araik Tamazian","2021-06-23 11:30:09",0.464
6746806,"This Is The Way","2021-06-22 00:55:08",0.464
6932835,bayes,"2021-06-24 03:09:22",0.464
6962364,"Young eagle","2021-06-22 13:18:44",0.464
6733894,"Naruhiko Nakanishi","2021-06-22 02:43:21",0.464
6992405,liwei111,"2021-06-22 03:23:37",0.464
6988796,zhaoyuxin0330,"2021-06-22 03:39:45",0.464
6854843,"Shota Yamanaka","2021-06-22 03:44:46",0.464
6806964,Nemuri,"2021-06-22 03:58:10",0.464
6989317,archer,"2021-06-24 02:50:30",0.464
6752240,"Ammar Alhaj Ali","2021-06-22 04:40:12",0.464
6913617,coke,"2021-06-22 05:12:19",0.464
6794089,maze508,"2021-06-22 05:20:17",0.464
6739734,"mirosia koval","2021-06-22 06:03:44",0.464
6980995,voler2333,"2021-06-22 06:14:44",0.464
6784425,"Manoj Prabhakar","2021-06-22 07:34:53",0.464
6742560,LucaMTB,"2021-06-24 12:15:18",0.464
6894149,"Kong Bai","2021-06-22 09:06:33",0.464
6981608,ds.wook,"2021-06-22 12:47:26",0.464
6994785,"Gurkan Ozkan","2021-06-22 14:09:05",0.464
6747643,"Aristotelis Charalampous","2021-06-22 14:24:39",0.464
6734514,"Mathurin Aché","2021-06-24 12:15:51",0.464
6978311,Hirah,"2021-06-24 04:56:37",0.464
6773880,"Dream Team","2021-06-23 22:07:41",0.464
6965138,SHO0612,"2021-06-24 02:35:32",0.464
6830785,"Der Informatiker","2021-06-23 11:06:48",0.464
6770524,ARubiales,"2021-06-23 13:24:54",0.464
6995036,rise,"2021-06-23 14:51:24",0.464
6735157,"Marek Nurzynski","2021-06-23 16:41:09",0.464
6735128,DilBERT,"2021-06-23 20:10:59",0.464
6862752,shogo_asa,"2021-06-24 00:50:34",0.464
6815717,rohikiyudau,"2021-06-24 07:42:44",0.464
6737973,"Kramarenko Vladislav","2021-06-08 07:06:26",0.464
6773229,"Huchen Jiang","2021-06-23 10:54:00",0.464
6737184,"Hide on Bush","2021-06-24 11:38:07",0.464
6734763,Mobassir,"2021-06-21 06:21:57",0.464
6740863,"Eric Vos","2021-06-21 15:12:24",0.464
6763386,JuicerMixerBlender,"2021-06-11 11:52:44",0.464
6757413,"Y = W*X + B","2021-06-24 10:28:12",0.464
6763917,"Radmir Z.","2021-06-23 10:58:27",0.464
6995026,b15d030,"2021-06-23 11:39:15",0.464
6911833,"Kiran Kunapuli","2021-06-21 10:02:10",0.464
6734644,"Ulrich G.","2021-06-03 12:39:43",0.464
6875974,Timothy,"2021-06-08 12:23:43",0.464
6740203,"Total Recall","2021-06-17 08:31:44",0.464
6809695,"pooyan ehsani","2021-06-24 04:30:50",0.464
6988921,tarobxl,"2021-06-21 15:27:37",0.464
6835260,"Pranjal Verma","2021-06-21 08:08:56",0.464
6735971,"Alexander Kirilin","2021-06-21 09:06:32",0.464
6792323,"Snigdha Chandan","2021-06-21 10:05:00",0.464
6736431,"Uday Kumar Gurugubelli","2021-06-21 10:08:08",0.464
6742349,torch,"2021-06-21 11:41:03",0.464
6956573,"Taicheng Guo","2021-06-21 11:50:01",0.464
6744473,blue0620,"2021-06-23 14:16:51",0.464
6951659,PnDong,"2021-06-21 12:03:36",0.464
6989975,"Emerson CM Correa","2021-06-21 12:55:35",0.464
6804172,"Akihiro Yamanihshi","2021-06-21 13:32:45",0.464
6766505,"Old Monk","2021-06-21 13:56:19",0.464
6778096,mihtw,"2021-06-23 19:08:15",0.464
6753116,"Rami Khreas","2021-06-21 14:21:23",0.464
